satellite_img_name,BD09 coordinate,WGS84 coordinate,carbon_emissions (ton),population (unit),gdp (million yuan)
Guangzhou/16_12303_2599_s.jpg,"(12303,2599)","(23.38370180200058, 113.17097150371777)",844.24585,2392,10252.953
Guangzhou/16_12304_2550_s.jpg,"(12304,2550)","(22.966954867876506, 113.18017015213691)",638.09503,7636,10082.731
Guangzhou/16_12299_2584_s.jpg,"(12299,2584)","(23.256265730864673, 113.13417691004123)",535.7505,1797,14412.193
Guangzhou/16_12315_2585_s.jpg,"(12315,2585)","(23.264765311417268, 113.2813552847474)",765.82764,2607,10081.433
Guangzhou/16_12300_2585_s.jpg,"(12300,2585)","(23.264765311417268, 113.14337555846036)",497.45,1394,497.3058
Guangzhou/16_12316_2597_s.jpg,"(12316,2597)","(23.366717469794246, 113.29055393316654)",388.63794,621,10144.075
Guangzhou/16_12333_2566_s.jpg,"(12333,2566)","(23.10317970193286, 113.44693095629184)",1079.0963,12401,10000.0
Guangzhou/16_12340_2586_s.jpg,"(12340,2586)","(23.27326434370503, 113.51132149522579)",70.8351,315,13174.113
Guangzhou/16_12336_2573_s.jpg,"(12336,2573)","(23.162734203005474, 113.47452690154925)",812.4653,1332,23188.443
Guangzhou/16_12312_2586_s.jpg,"(12312,2586)","(23.27326434370503, 113.25375933948999)",582.81555,5221,799.70624
Guangzhou/16_12327_2551_s.jpg,"(12327,2551)","(22.97547299822157, 113.39173906577703)",876.8139,1827,10000.827
Guangzhou/16_12339_2575_s.jpg,"(12339,2575)","(23.179744859179443, 113.50212284680666)",580.6947,1524,42513.89
Guangzhou/16_12317_2577_s.jpg,"(12317,2577)","(23.19675332841059, 113.29975258158566)",1409.9711,1615,1239.1538
Guangzhou/16_12353_2563_s.jpg,"(12353,2563)","(23.077648160941553, 113.63090392467456)",34680.24,3678,21857.846
Guangzhou/16_12354_2592_s.jpg,"(12354,2592)","(23.324247015329387, 113.64010257309369)",57.19467,469,162.03851
Guangzhou/16_12314_2555_s.jpg,"(12314,2555)","(23.009540087639834, 113.27215663632826)",902.8896,1437,17644.64
Guangzhou/16_12314_2594_s.jpg,"(12314,2594)","(23.341236846175214, 113.27215663632826)",271.28842,1192,46829.05
Guangzhou/16_12304_2560_s.jpg,"(12304,2560)","(23.05211171591411, 113.18017015213691)",1229.146,17474,44021.4
Guangzhou/16_12339_2564_s.jpg,"(12339,2564)","(23.086159219703433, 113.50212284680666)",972.9963,1695,10117.391
Guangzhou/16_12301_2558_s.jpg,"(12301,2558)","(23.03508469681789, 113.1525742068795)",1528.7565,18741,10000.0
Guangzhou/16_12357_2563_s.jpg,"(12357,2563)","(23.077648160941553, 113.6676985183511)",859.3199,4377,16818.566
Guangzhou/16_12298_2574_s.jpg,"(12298,2574)","(23.1712398043837, 113.12497826162209)",732.3186,1776,37854.418
Guangzhou/16_12309_2555_s.jpg,"(12309,2555)","(23.009540087639834, 113.22616339423259)",653.46027,5637,18231.047
Guangzhou/16_12318_2580_s.jpg,"(12318,2580)","(23.22226192905966, 113.30895123000481)",0.0,6298,6812.7236
Guangzhou/16_12316_2584_s.jpg,"(12316,2584)","(23.256265730864673, 113.29055393316654)",680.4818,5995,10075.352
Guangzhou/16_12355_2550_s.jpg,"(12355,2550)","(22.966954867876506, 113.64930122151283)",967.9295,2118,11743.36
Guangzhou/16_12320_2587_s.jpg,"(12320,2587)","(23.281762827575374, 113.32734852684308)",379.61765,2973,25914.146
Guangzhou/16_12311_2552_s.jpg,"(12311,2552)","(22.98399058552501, 113.24456069107086)",859.4526,799,1894.1746
Guangzhou/16_12322_2565_s.jpg,"(12322,2565)","(23.09466973341848, 113.34574582368136)",985.88666,2530,10000.249
Guangzhou/16_12305_2595_s.jpg,"(12305,2595)","(23.34973093722024, 113.18936880055604)",244.33928,2533,15852.021
Guangzhou/16_12303_2571_s.jpg,"(12303,2571)","(23.14572136111482, 113.17097150371777)",0.0,3442,46000.152
Guangzhou/16_12327_2565_s.jpg,"(12327,2565)","(23.09466973341848, 113.39173906577703)",802.4936,3534,10001.887
Guangzhou/16_12301_2549_s.jpg,"(12301,2549)","(22.95843619464447, 113.1525742068795)",573.77277,1402,14475.446
Guangzhou/16_12317_2567_s.jpg,"(12317,2567)","(23.11168912509281, 113.29975258158566)",3199.2275,29582,10240.1045
Guangzhou/16_12338_2564_s.jpg,"(12338,2564)","(23.086159219703433, 113.49292419838751)",859.2385,8688,10028.974
Guangzhou/16_12335_2586_s.jpg,"(12335,2586)","(23.27326434370503, 113.46532825313011)",68.77589,527,142.72151
Guangzhou/16_12357_2558_s.jpg,"(12357,2558)","(23.03508469681789, 113.6676985183511)",1140.3357,853,3481.6167
Guangzhou/16_12343_2549_s.jpg,"(12343,2549)","(22.95843619464447, 113.5389174404832)",0.0,0,561.38477
Guangzhou/16_12304_2590_s.jpg,"(12304,2590)","(23.30725498715689, 113.18017015213691)",239.65656,511,12200.322
Guangzhou/16_12341_2557_s.jpg,"(12341,2557)","(23.026570371008784, 113.52052014364493)",0.0,0,609.5193
Guangzhou/16_12327_2585_s.jpg,"(12327,2585)","(23.264765311417268, 113.39173906577703)",120.882835,203,9.5288925
Guangzhou/16_12320_2566_s.jpg,"(12320,2566)","(23.10317970193286, 113.32734852684308)",1953.1683,7799,10076.612
Guangzhou/16_12347_2551_s.jpg,"(12347,2551)","(22.97547299822157, 113.57571203415974)",471.3423,295,188.2045
Guangzhou/16_12313_2557_s.jpg,"(12313,2557)","(23.026570371008784, 113.26295798790913)",647.15546,1988,577.5503
Guangzhou/16_12338_2563_s.jpg,"(12338,2563)","(23.077648160941553, 113.49292419838751)",102271.96,5011,10077.415
Guangzhou/16_12323_2552_s.jpg,"(12323,2552)","(22.98399058552501, 113.35494447210048)",1064.1604,5803,10000.0
